5,10,2,0.0000,0.0028,4
5,10,4,0.0000,0.0036,9
5,10,6,0.0000,0.0036,12
5,10,5,0.0000,0.0048,20
5,10,3,0.0000,0.0061,22
5,10,7,0.0000,0.0052,28
5,10,10,0.0000,0.0070,32
5,10,8,0.0000,0.0068,26
5,10,1,0.0000,0.0111,19
5,10,9,0.0000,0.0135,30
5,20,4,0.0000,0.0508,46
5,20,5,0.0000,0.0800,84
5,20,6,0.0000,0.1749,142
5,20,7,0.0000,0.1768,205
5,20,2,0.0000,0.2024,191
5,20,10,0.0000,0.2083,191
5,20,3,0.0000,0.2242,74
5,20,1,0.0000,0.2777,174
5,20,8,0.0000,0.5684,299
5,20,9,0.0000,1.1236,672
5,30,4,0.0000,0.6609,167
5,30,3,0.0000,1.4986,372
5,30,5,0.0000,1.8941,368
5,30,2,0.0000,3.2285,342
5,30,1,0.0000,5.8903,641
5,30,6,0.0000,10.4444,1595
5,30,10,0.0000,11.9900,1012
5,30,7,0.0000,12.3011,1926
5,30,8,0.0000,18.7458,1361
5,30,9,0.0000,64.0790,2625
5,40,4,0.0000,13.3790,897
5,40,3,0.0000,17.8037,1074
5,40,2,0.0000,37.9215,1473
5,40,5,0.0000,70.8745,2598
5,40,1,0.0000,308.8580,3542
5,40,8,0.0000,433.3112,8087
5,40,10,0.0000,470.9793,5798
5,40,6,0.0000,625.7379,6507
5,40,7,0.0000,625.8801,3941
5,40,9,0.0000,857.9663,6291
5,50,4,0.0000,130.5182,1357
5,50,3,0.0000,249.8143,2975
5,50,2,0.0000,466.4771,3010
5,50,5,0.0000,906.2930,6252
5,50,10,0.0000,7985.2392,9115
5,50,6,0.0000,8467.7985,10070
5,50,1,0.0000,8563.2695,15191
5,50,9,0.0000,11233.8147,17310
5,50,7,0.0000,13472.4967,19398
5,50,8,0.0000,51967.7004,38495
5,75,4,0.0000,32583.7303,18085
5,75,5,0.0000,77152.5246,23725
5,25,4,0.0000,0.1825,100
5,25,3,0.0000,0.5147,73
5,25,5,0.0000,0.5666,160
5,25,2,0.0000,1.1738,249
5,25,10,0.0000,1.1920,336
5,25,7,0.0000,1.7752,465
5,25,6,0.0000,1.8451,561
5,25,1,0.0000,2.0959,466
5,25,8,0.0000,3.5057,655
5,25,9,0.0000,11.1275,1322
5,75,2,0.0000,84558.1286,29998
5,75,3,0.0000,154308.2168,44324
