3 20 3 0.4500 0.0091 48
3 20 8 0.4500 0.0055 54
3 20 5 0.4500 0.0049 66
3 20 4 0.4500 0.0096 79
3 20 9 0.4500 0.0208 130
3 20 7 0.4500 0.0027 19
3 20 1 0.4500 0.0056 23
3 20 10 0.4500 0.0041 23
3 20 2 0.4500 0.0072 45
3 20 6 0.4500 0.0062 44
3 20 10 0.2500 0.0119 55
3 20 4 0.2500 0.0188 94
3 20 8 0.2500 0.0096 95
3 20 2 0.2500 0.0133 89
3 20 6 0.2500 0.0162 74
3 20 1 0.2500 0.0091 45
3 20 7 0.2500 0.0055 44
3 20 3 0.2500 0.0115 103
3 20 5 0.2500 0.0222 153
3 20 9 0.2500 0.0394 139
3 20 7 0.1000 0.0093 62
3 20 8 0.1000 0.0219 106
3 20 4 0.1000 0.0360 151
3 20 10 0.1000 0.0144 83
3 20 3 0.1000 0.0318 154
3 20 6 0.1000 0.0280 94
3 20 5 0.1000 0.0370 211
3 20 2 0.1000 0.0309 117
3 20 1 0.1000 0.0131 74
3 20 9 0.1000 0.0630 187
3 25 1 0.4500 0.0163 49
3 25 10 0.4500 0.0213 29
3 25 7 0.4500 0.0086 43
3 25 6 0.4500 0.0079 40
3 25 9 0.4500 0.0569 92
3 25 2 0.4500 0.0189 39
3 25 5 0.4500 0.0211 75
3 25 3 0.4500 0.0254 53
3 25 8 0.4500 0.0619 123
3 25 4 0.4500 0.0295 74
3 25 7 0.2500 0.0157 50
3 25 6 0.2500 0.0271 63
3 25 2 0.2500 0.0323 70
3 25 1 0.2500 0.0378 73
3 25 4 0.2500 0.0527 83
3 25 5 0.2500 0.0791 168
3 25 10 0.2500 0.0384 86
3 25 3 0.2500 0.0439 103
3 25 9 0.2500 0.0770 120
3 25 8 0.2500 0.1289 191
3 25 7 0.1000 0.0230 74
3 25 6 0.1000 0.0492 60
3 25 2 0.1000 0.0785 123
3 25 1 0.1000 0.0750 133
3 25 10 0.1000 0.1074 109
3 25 3 0.1000 0.1256 154
3 25 5 0.1000 0.1371 181
3 25 9 0.1000 0.1327 169
3 25 4 0.1000 0.1326 129
3 25 8 0.1000 0.2634 307
3 30 2 0.4500 0.0395 100
3 30 7 0.4500 0.0244 42
3 30 6 0.4500 0.0457 57
3 30 4 0.4500 0.0698 115
3 30 3 0.4500 0.0554 87
3 30 5 0.4500 0.0839 67
3 30 9 0.4500 0.0821 155
3 30 1 0.4500 0.1094 137
3 30 10 0.4500 0.1245 204
3 30 8 0.4500 0.3295 157
3 30 7 0.2500 0.0627 94
3 30 2 0.2500 0.0944 167
3 30 6 0.2500 0.1203 99
3 30 9 0.2500 0.1411 231
3 30 4 0.2500 0.1448 213
3 30 3 0.2500 0.1549 209
3 30 10 0.2500 0.2678 237
3 30 1 0.2500 0.3149 269
3 30 5 0.2500 0.3383 193
3 30 8 0.2500 0.8520 434
3 30 7 0.1000 0.1322 180
3 30 2 0.1000 0.2492 315
3 30 6 0.1000 0.2316 191
3 30 9 0.1000 0.2708 339
3 30 4 0.1000 0.3029 310
3 30 3 0.1000 0.4862 283
3 30 10 0.1000 0.5409 270
3 30 1 0.1000 0.5798 387
3 30 5 0.1000 0.9252 353
3 30 8 0.1000 2.0657 605
3 35 7 0.4500 0.0742 103
3 35 6 0.4500 0.1129 69
3 35 5 0.4500 0.1769 106
3 35 2 0.4500 0.2303 132
3 35 1 0.4500 0.1739 96
3 35 10 0.4500 0.2127 156
3 35 3 0.4500 0.2803 128
3 35 8 0.4500 0.3677 151
3 35 4 0.4500 0.3496 160
